config_id,budget,performance,performance_seed_0,performance_seed_1,performance_seed_2,algorithm_kwargs.batch_size,algorithm_kwargs.entropy_coef,algorithm_kwargs.gamma,algorithm_kwargs.learning_rate,algorithm_kwargs.max_grad_norm,algorithm_kwargs.n_gradient_steps,algorithm_kwargs.ppo_clip,algorithm_kwargs.value_loss_coef
0,,0.0,0.0,0.0,0.0,256,0.0058570134453,0.9992996135009,9.96239544e-05,0.2676435066387,18,0.1979639710858,0.8402863210998
1,,0.2057,0.13255,0.22494999999999998,0.25959999999999994,16,0.0914684512652,0.9023917072948,0.0008560988721,0.8143716314808,5,0.2174507634714,0.1176220646128
2,,0.0,0.0,0.0,0.0,32,0.0360638050362,0.9672677895617,1.15200783e-05,0.7212077081203,6,0.1204432630911,0.3567281329073
3,,0.14693333333333333,0.20735,0.07705,0.1564,128,0.072077119723,0.9328625967113,0.0001316699371,0.3959638509899,13,0.2883553573862,0.6575482867658
4,,0.19576666666666664,0.09465,0.19929999999999998,0.29334999999999994,128,0.0478315348737,0.9148993789215,0.0001868813531,0.4823831678368,19,0.1412712635472,0.4735560791567
5,,0.031116666666666664,0.04464999999999999,0.04869999999999999,0.0,32,0.0619696588255,0.9868163330114,2.14139139e-05,0.5793585990556,2,0.2749064104632,0.767319235485
6,,0.3719666666666666,0.5532,0.5627,0.0,8,0.0159643789753,0.9453535480907,0.0005124206648,0.9572881071828,9,0.1653252625838,0.9502023454756
7,,0.05666666666666667,0.07170000000000001,0.041049999999999996,0.05725,512,0.0797010075301,0.9548012293193,4.39225796e-05,0.1817971582524,11,0.2442851254717,0.2345401582308
8,,0.19515000000000002,0.12395,0.3231,0.1384,128,0.0783200264537,0.9037449948886,0.0005917388845,0.6866216495183,10,0.1968868500618,0.2488326546366
9,,0.2059,0.0,0.1289,0.4888,8,0.0162777280049,0.9311974887143,0.0007151050884,0.9999590325418,9,0.1505126151991,0.9722706497451
10,,0.37509999999999993,0.0,0.5662499999999999,0.5590499999999999,8,0.0163383571377,0.9312412781581,0.0007146182439,0.9999943305703,9,0.150285527961,0.9727033711883
11,,0.4991833333333333,0.5612999999999999,0.39339999999999997,0.5428499999999999,8,0.0163127528537,0.9311806340118,0.0007150737208,0.9999783267977,9,0.1507721758863,0.9735783026553
12,,0.18831666666666666,0.0,0.56495,0.0,8,0.0163361872062,0.9098106259664,0.0003650051804,0.8971533276662,9,0.1301224146217,0.9735467509706
13,,0.19140000000000001,0.0,0.1749,0.3993,8,0.0463280022976,0.9187821939477,0.0002761366938,0.4176559560443,18,0.217262197,0.9993418166767
14,,0.40215000000000006,0.0,0.5568000000000002,0.6496500000000001,8,0.0163779289335,0.9311873584333,0.0007153427971,0.9994054099159,9,0.1505679816724,0.9737141842105
15,,0.3713666666666668,0.0,0.5541000000000001,0.5600000000000002,8,0.0163142243578,0.9413543119708,0.000174056624,0.9992213551874,9,0.1976388556369,0.9736442306922
16,,0.027966666666666667,0.0,0.0,0.0839,8,0.0163151662828,0.9123957643635,0.0002449305249,0.9999783267977,9,0.2045415941872,0.9735783026553
17,,0.04868333333333333,0.0,0.03875,0.10729999999999999,64,0.0869678516148,0.9055486596703,1.12862843e-05,0.7029889605028,14,0.212589099534,0.6365458996946
18,,0.0,0.0,0.0,0.0,8,0.0163068878689,0.9340862189016,0.0009138923344,0.9997645115187,9,0.1399833986256,0.9736442306922
19,,0.37145,0.09794999999999998,0.47085,0.5455500000000001,8,0.0163082396415,0.9339705757658,0.0008405054988,0.9992213551874,9,0.1422183501944,0.9735588414968
20,,0.3944833333333333,0.55275,0.0955,0.5351999999999999,8,0.0163082396415,0.9339705757658,0.0008405054988,0.9997675576816,9,0.1422183501944,0.9735588414968
21,,0.0,0.0,0.0,0.0,8,0.0163082396415,0.9314278874448,0.0007109580058,0.9997675576816,9,0.1503163339065,0.9735588414968
22,,0.18365,0.55095,0.0,0.0,8,0.0163082396415,0.9314278874448,0.0007109580058,0.9997675576816,9,0.1501274096898,0.9735588414968
23,,0.020433333333333335,0.0613,0.0,0.0,8,0.0163082396415,0.9314278874448,0.0007109580058,0.9999293601736,9,0.1503163339065,0.9735588414968
24,,0.1856,0.0,0.0,0.5568,8,0.0163538788168,0.9310687541552,0.0007150737208,0.9998415510793,9,0.1508025460699,0.9738257706632
25,,0.19255,0.0,0.4344,0.14325,8,0.0163538788168,0.9310687541552,0.0007152393931,0.9999202551457,9,0.1508025460699,0.9738257706632
26,,0.5535,0.5545500000000001,0.546,0.55995,8,0.0163538788168,0.9310687541552,0.000715629457,0.9999202551457,9,0.1508025460699,0.9738257706632
27,,0.36384999999999995,0.5325000000000001,0.5590499999999998,0.0,8,0.016339588903,0.9311806340118,0.0007150737208,0.9999783267977,9,0.1507721758863,0.9735783026553
28,,0.2904333333333334,0.546,0.0,0.32530000000000003,8,0.0162964158378,0.9311868329809,0.0007152393931,0.9999202551457,9,0.1506504590699,0.9735417377666
29,,0.32426666666666665,0.56175,0.07705,0.33399999999999996,8,0.0162866178938,0.931185244388,0.000715629457,0.9997830332107,9,0.1508591456687,0.9735421628435
30,,0.18455,0.0,0.55365,0.0,8,0.016388562669,0.9311873584333,0.0007153427971,0.9994054099159,9,0.1505679816724,0.9737141842105
31,,0.55845,0.5662499999999999,0.55995,0.54915,8,0.0163733422736,0.931185244388,0.000715629457,0.9997830332107,9,0.1505991732029,0.9737314998283
